lat,lng,site_name,dev_stat,label,status,lith,b_age,t_age,unit_name,map_source
34.93622,-84.08601,Stannick,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.34183,-83.06098,Winter Property,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.97231,-83.886,Welsh Post Office,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.97231,-83.886,Struby,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.97231,-83.886,E.R. Brown Mine,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.97231,-83.886,Placer Mine,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.98341,-83.9193,Horse Vein,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.98341,-83.9193,Old Field Mine,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.98341,-83.9193,N. Brown (Brown Shaft ?),Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.98341,-83.9193,Pittsburg,Prospect,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
34.20433,-84.48322,Mcgill,Prospect,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
34.20573,-84.37492,Morgan,Prospect,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
