lat,lng,site_name,dev_stat,label,status,lith,unit_name,map_source,n_mrds_records,age_span,b_age,t_age,age_mid,lith_metamorphic,lith_plutonic,lith_volcanic,lith_sedimentary,lith_unconsolidated,lith_schist,lith_gneiss,lith_quartz,lith_mafic,lith_felsic
33.47515,-84.15681,Walker Property,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.71404,-84.93183,Jones Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,2,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.50845,-83.8957,No Name,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.61684,-83.56239,Parker Prospect,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.83484,-83.7749,Smith Placer,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.89184,-83.7471,Thompson Placer,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.60014,-82.79987,Hillman,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
33.57514,-82.96657,Hackney-Lucas,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
33.81684,-82.62486,G.W. Booker Property,Past Producer,1,OK,volcanic: felsic rocks,Cambrian volcanic: felsic rocks,7,1,55.60000000000002,541.0,485.4,513.2,0,0,1,0,0,0,0,0,0,1
33.86124,-82.56236,Sales & Lamar Mine,Past Producer,1,OK,volcanic: felsic rocks,Cambrian volcanic: felsic rocks,7,1,55.60000000000002,541.0,485.4,513.2,0,0,1,0,0,0,0,0,0,1
33.69874,-82.81097,Stone Ridge Mine  (Orr),Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
33.67514,-82.51516,Hilly Mine,Past Producer,1,OK,volcanic: felsic rocks,Cambrian volcanic: felsic rocks,7,1,55.60000000000002,541.0,485.4,513.2,0,0,1,0,0,0,0,0,0,1
33.83764,-82.93737,Latimer Mine (Fairy Ridge),Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
33.65014,-82.46656,Ramsey Property,Past Producer,1,OK,mudstone-carbonate-sandstone-conglomerate,Paleozoic sedimentary and volcanic rocks,154,1,55.60000000000002,541.0,485.4,513.2,0,0,0,1,0,0,0,0,0,0
33.65704,-82.49156,Edmunds Prospect,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
